order_id,dish_id,quantity,sale_time,settlement_price
1,1,50,2024-06-01 12:00:00,58
2,2,30,2024-06-01 12:30:00,22
3,3,20,2024-06-01 13:00:00,38
4,1,50,2024-06-15 12:00:00,58
5,2,30,2024-06-15 12:30:00,22
6,3,20,2024-06-15 13:00:00,38
7,1,50,2024-07-01 12:00:00,58
8,2,30,2024-07-01 12:30:00,22
9,3,20,2024-07-01 13:00:00,38
10,1,50,2024-07-15 12:00:00,58
11,2,30,2024-07-15 12:30:00,22
12,3,20,2024-07-15 13:00:00,38
13,1,30,2024-07-20 12:00:00,58
14,2,20,2024-07-20 12:30:00,22
15,3,10,2024-07-20 13:00:00,38
